10	421
10.02	473
10.04	415
10.06	463
10.08	398
10.1	387
10.12	424
10.14	422
10.16	434
10.18	421
10.2	443
10.22	406
10.24	395
10.26	415
10.28	430
10.3	410
10.32	405
10.34	407
10.36	395
10.38	406
10.4	416
10.42	438
10.44	405
10.46	395
10.48	384
10.5	392
10.52	402
10.54	403
10.56	428
10.58	401
10.6	356
10.62	400
10.64	370
10.66	432
10.68	413
10.7	450
10.72	374
10.74	418
10.76	414
10.78	406
10.8	396
10.82	398
10.84	389
10.86	438
10.88	385
10.9	416
10.92	457
10.94	417
10.96	404
10.98	389
11	381
11.02	381
11.04	437
11.06	424
11.08	421
11.1	401
11.12	334
11.14	401
11.16	392
11.18	389
11.2	369
11.22	360
11.24	387
11.26	397
11.28	375
11.3	375
11.32	407
11.34	411
11.36	350
11.38	395
11.4	361
11.42	367
11.44	373
11.46	401
11.48	405
11.5	384
11.52	376
11.54	392
11.56	375
11.58	364
11.6	339
11.62	396
11.64	330
11.66	342
11.68	396
11.7	354
11.72	333
11.74	345
11.76	370
11.78	374
11.8	368
11.82	334
11.84	374
11.86	351
11.88	346
11.9	395
11.92	352
11.94	357
11.96	331
11.98	366
12	346
12.02	368
12.04	383
12.06	354
12.08	343
12.1	339
12.12	336
12.14	348
12.16	346
12.18	381
12.2	355
12.22	353
12.24	383
12.26	360
12.28	380
12.3	365
12.32	343
12.34	323
12.36	359
12.38	319
12.4	343
12.42	335
12.44	379
12.46	354
12.48	356
12.5	337
12.52	342
12.54	313
12.56	341
12.58	352
12.6	316
12.62	325
12.64	321
12.66	319
12.68	340
12.7	334
12.72	301
12.74	337
12.76	331
12.78	332
12.8	358
12.82	325
12.84	325
12.86	369
12.88	328
12.9	359
12.92	368
12.94	321
12.96	312
12.98	346
13	326
13.02	333
13.04	337
13.06	319
13.08	322
13.1	316
13.12	341
13.14	337
13.16	331
13.18	325
13.2	320
13.22	308
13.24	294
13.26	326
13.28	304
13.3	300
13.32	309
13.34	334
13.36	299
13.38	282
13.4	296
13.42	287
13.44	292
13.46	282
13.48	326
13.5	332
13.52	279
13.54	300
13.56	279
13.58	303
13.6	293
13.62	302
13.64	296
13.66	299
13.68	316
13.7	304
13.72	335
13.74	311
13.76	294
13.78	303
13.8	294
13.82	295
13.84	293
13.86	285
13.88	301
13.9	311
13.92	310
13.94	346
13.96	259
13.98	296
14	300
14.02	280
14.04	285
14.06	322
14.08	283
14.1	299
14.12	304
14.14	302
14.16	292
14.18	269
14.2	279
14.22	309
14.24	298
14.26	316
14.28	291
14.3	314
14.32	291
14.34	269
14.36	299
14.38	286
14.4	270
14.42	314
14.44	284
14.46	311
14.48	287
14.5	289
14.52	266
14.54	293
14.56	305
14.58	283
14.6	256
14.62	286
14.64	291
14.66	271
14.68	290
14.7	295
14.72	294
14.74	276
14.76	299
14.78	262
14.8	275
14.82	288
14.84	296
14.86	268
14.88	294
14.9	266
14.92	307
14.94	268
14.96	263
14.98	290
15	277
15.02	305
15.04	303
15.06	265
15.08	318
15.1	295
15.12	271
15.14	291
15.16	281
15.18	270
15.2	269
15.22	284
15.24	267
15.26	247
15.28	301
15.3	273
15.32	270
15.34	248
15.36	318
15.38	244
15.4	259
15.42	272
15.44	277
15.46	243
15.48	298
15.5	263
15.52	250
15.54	281
15.56	277
15.58	286
15.6	244
15.62	275
15.64	277
15.66	290
15.68	253
15.7	308
15.72	272
15.74	273
15.76	253
15.78	256
15.8	251
15.82	252
15.84	272
15.86	274
15.88	284
15.9	270
15.92	249
15.94	267
15.96	289
15.98	276
16	280
16.02	254
16.04	293
16.06	272
16.08	258
16.1	294
16.12	268
16.14	258
16.16	273
16.18	251
16.2	241
16.22	239
16.24	297
16.26	282
16.28	255
16.3	246
16.32	266
16.34	260
16.36	280
16.38	303
16.4	279
16.42	244
16.44	297
16.46	264
16.48	290
16.5	287
16.52	234
16.54	290
16.56	250
16.58	276
16.6	272
16.62	249
16.64	249
16.66	279
16.68	281
16.7	269
16.72	275
16.74	282
16.76	289
16.78	262
16.8	255
16.82	237
16.84	246
16.86	267
16.88	289
16.9	262
16.92	294
16.94	286
16.96	274
16.98	263
17	236
17.02	240
17.04	288
17.06	263
17.08	292
17.1	268
17.12	248
17.14	266
17.16	224
17.18	272
17.2	250
17.22	218
17.24	277
17.26	261
17.28	230
17.3	240
17.32	245
17.34	239
17.36	253
17.38	241
17.4	268
17.42	254
17.44	229
17.46	253
17.48	258
17.5	227
17.52	239
17.54	260
17.56	232
17.58	252
17.6	263
17.62	279
17.64	243
17.66	239
17.68	259
17.7	253
17.72	248
17.74	239
17.76	261
17.78	252
17.8	242
17.82	256
17.84	269
17.86	267
17.88	249
17.9	264
17.92	239
17.94	235
17.96	248
17.98	263
18	259
18.02	245
18.04	258
18.06	233
18.08	238
18.1	233
18.12	216
18.14	234
18.16	241
18.18	243
18.2	200
18.22	212
18.24	241
18.26	244
18.28	234
18.3	231
18.32	208
18.34	221
18.36	208
18.38	257
18.4	217
18.42	226
18.44	248
18.46	230
